,0,1
0,The Funkees,0
1,Gary's Gang,0
2,Cornershop,0
3,Kindness,0
4,Skrillex,0
5,Leo's Sunshipp,0
6,Shit Robot,0
7,Goody Goody,0
8,Hercules & Love Affair,0
9,Patrick Di Stefano,0
10,Cherry Glazerr,0
11,Master C & J,0
12,Grand High Priest,0
13,Cerrone,0
14,Todd Osborn,0
15,Real Connoisseur,0
16,Deep Purple,0
17,Hayden James,0
18,Them Jeans,0
19,Dim Sum,0
20,The Alexanders,0
21,ODESZA,0
22,Les Sins,0
23,D'Angelo,0
24,Breach,0
25,Todd Terje,0
26,Allah-Las,0
27,Afrolicious,0
28,EDX,0
29,Matrix & Futurebound,0
30,ZHU,0
31,Mr Little Jeans,0
32,Hotel Eden,0
33,Dusky,0
34,Goodnight Radio,0
35,Rustie,0
36,Marshmello,0
37,Charlie,0
38,Dusky,0
39,Julio Bashmore,0
40,Geoxor,0
41,Deerhunter,0
42,Colleen Green,0
43,Ejeca,0
44,Disclosure,0
45,Fancy Fux,0
46,Chris Lake,0
47,Jan Blomqvist,0
48,Mr. Fingers,0
49,Tycho,0
50,The Martini's,0
51,Madlib,0
52,The Parallax Corporation,0
53,Tame Impala,0
54,LCD Soundsystem,0
55,Twin Moons,0
56,Christopher Owens,0
57,Blood Orange,0
58,Cloud One,0
59,Nightmares On Wax,0
60,ZHU,0
61,Hot Chocolate,0
62,Angel Olsen,0
63,Iron Galaxy & Sexlife,0
64,Red Rack'Em,0
65,X-Press 2,0
66,A Guy Called Gerald,0
67,Nickelback,0
68,Breach,0
69,Format:B,0
70,DJ Dodger Stadium,0
71,Sabrina,0
72,CLUBZ,0
73,Polo & Pan,0
74,The The,0
75,T. Rex,0
76,New Order,0
77,New Order,0
78,Poolside,0
79,Burial,0
80,Willie Bobo,0
81,New Order,0
82,Sports,0
83,Night Moves,0
84,HNNY,0
85,Punkin Machine,0
86,Chris Lake,0
87,Blood Orange,0
88,Todd Terje,0
89,Cut Copy,0
90,Parquet Courts,0
91,Swearin',0
92,Chris Lake Feat. Laura V,0
93,TV On The Radio,0
94,Avicii,0
95,Disclosure,0
96,Lunice,0
97,Fool's Gold,0
98,Just Blaze and Baauer,0
99,UZ,0
100,William Onyeabor,0
101,Inner City,0
102,Blaqstarr,0
103,Sleigh Bells,0
104,Azari & III,0
105,Afrojack,0
106,Toro y Moi,0
107,Washed Out,0
108,Radiohead,0
109,Small Black,0
110,Miss Kittin,0
111,J Rocc,0
112,Junior Boys,0
113,The War On Drugs,0
114,The War On Drugs,0
115,DJ Eleven,0
116,FIDLAR,0
117,Teams vs. Star Slinger,0
118,FIDLAR,0
119,Laid Back,0
120,DIIV,0
121,SBTRKT,0
122,Le Youth,0
123,Cajmere,0
124,The Rapture,0
125,Barrington Levy,0
126,TR/ST,0
127,Santigold,0
128,TV On The Radio,0
129,Disciples,0
130,Adonis,0
131,Tame Impala,0
132,Kurt Vile,0
133,Dillon Francis and Kill The Noise,0
134,The Partysquad,0
135,The Raveonettes,0
136,Parquet Courts,0
137,Yacht Club,0
138,Average White Band,0
139,!!!,0
140,Duke Dumont,0
141,Bohannon,0
142,Kideko,0
143,A$AP Ferg,0
144,How Sad,0
145,The Juan Maclean,0
146,Disclosure,0
147,Peaches,0
148,M.I.A.,0
149,War,0
150,Beach House,0
151,The Breeders,0
152,Lifelike,1
153,Craig Bratley,1
154,Ghost Culture,1
155,Dog Blood,1
156,Crystal Castles,1
157,Crystal Castles,1
158,Grimes,1
159,FIDLAR,1
160,Pretty Lights,1
161,Gesaffelstein,1
162,Girl Unit,1
163,M83,1
164,Com Truise,1
165,Chrome Sparks,1
166,Tove Lo,1
167,Destruction Unit,1
168,Part Time,1
169,Partial Arts,1
170,Parquet Courts,1
171,Partial Arts,1
172,Virgo,1
173,Ben Pearce,1
174,ODESZA,1
175,Romare,1
176,Gino Soccio,1
177,Ty Segall,1
178,Jimmy Edgar,1
179,Inner City,1
180,Funkagenda,1
181,Jungle,1
182,The Partysquad,1
183,Disclosure,1
184,Blue In Green,1
185,Todd Terje,1
186,Future Islands,1
187,Ben Pearce,1
188,Deapmash,1
189,Softwar,1
190,Santé,1
191,ZZT,1
192,Washed Out,1
193,Clockwork,1
194,Tonstartssbandht,1
195,Ben Pearce,1
196,Tanner Ross,1
197,Lapalux,1
198,GENER8ION,1
199,Minor Victories,1
200,Liquid Liquid,1
201,The Blaze,1
202,Allie X,1
203,Prince Rama,1
204,Washed Out,1
205,Frankey,1
206,Destructo feat. Oliver,1
207,Black Tongue,1
208,deadmau5,1
209,Martin Garrix,1
210,Adrian Lux,1
211,MOTi,1
212,Lord of War,1
213,God Of Nothing,1
214,Crucify Me Gently,1
215,Afrojack,1
216,The Voynich Code,1
217,Tim Mason,1
218,Frankey,1
219,Parquet Courts,1
220,Gold Panda,1
221,Suicide Silence,1
222,Big Freedia,1
223,Brojob,1
224,Kaskade,1
225,John Dahlbäck,1
226,Best Coast,1
227,George Acosta,1
228,Crystal Castles,1
229,Signs of the Swarm,1
230,Obscure of Acacia,1
231,Traitors,1
232,Caribou,1
233,Within Destruction,1
234,deadmau5,1
235,Reaping Asmodeia,1
236,Walking Dead On Broadway,1
237,FRCTRD,1
238,Sweet Valley,1
239,Infant Annihilator,1
240,Science Of Sleep,1
241,Aversions Crown,1
242,Enterprise Earth,1
243,Mark Knight,1
244,Bassjackers,1
245,카우칩스 The CowChips,1
246,Alok,1
247,Bassnectar,1
248,Dimitri Vangelis & Wyman,1
249,Omega,1
250,Kool & The Gang,1
251,Baroness,1
252,Duke Dumont,2
253,Major Lazer,2
254,Neil Young,2
255,Benny Benassi,2
256,*NSYNC,2
257,*NSYNC,2
258,LVNDSCAPE,2
259,Autre Ne Veut,2
260,*NSYNC,2
261,Kato,2
262,MOTi,2
263,Castro,2
264,ASTR,2
265,The Harmaleighs,2
266,Sam F,2
267,Slushii,2
268,Tujamo,2
269,Cedric Gervais,2
270,Best Coast,2
271,Backstreet Boys,2
272,Yellow Claw,2
273,Matchbox Twenty,2
274,Harry Styles,2
275,MiM0SA,2
276,Gryffin,2
277,Glass Figure,2
278,Krewella,2
279,Brillz & Teddy Tuxedo,2
280,DOLF,2
281,Bougenvilla,2
282,Flosstradamus & DJ Sliink,2
283,Keys N Krates,2
284,Badfinger,2
285,Danny Brown,2
286,Gin Blossoms,2
287,SLUMBERJACK,2
288,Demi Lovato,2
289,Demi Lovato,2
290,4 Non Blondes,2
291,Crystal Castles,2
292,Kaskade,2
293,David Guetta,2
294,Breathe Carolina,2
295,Cosmic Gate,2
296,Miguel,2
297,Eminem,2
298,Papa Roach,2
299,Status Quo,2
300,A Day To Remember,2
301,Beartooth,2
302,Volbeat,2
303,Four Year Strong,2
304,Neck Deep,2
305,FIDLAR,2
306,FIDLAR,2
307,Thrice,2
308,Suyano,2
309,System Of A Down,2
310,Gary Clark Jr.,2
311,Panic! At The Disco,2
312,M83,2
313,Kings of Leon,2
314,Kina Grannis,2
315,Grimes,2
316,Matthew Dear,2
317,Poolside,2
318,Purity Ring,2
319,Kina Grannis,2
320,Big Time Rush,2
321,Big Time Rush,2
322,Lemonade,2
323,Foo Fighters,2
324,Eve 6,2
325,Kavinsky,2
326,CID,2
327,Problem,2
328,CHVRCHES,2
329,Adrian Lux,2
330,Tommy Trash,2
331,Dash Berlin,2
332,Iamsu!,2
333,Madison Mars,2
334,Purity Ring,2
335,The Partysquad,2
336,Galantis,2
337,The Goo Goo Dolls,2
338,Wiley,2
339,Steve Angello,2
340,FIDLAR,2
341,Marshmello,2
342,Sebastian Ingrosso,2
343,Martin Garrix,2
344,Baauer,2
