,0,1
0,Tep No,0
1,Allah-Las,0
2,Snoop Dogg,0
3,TR/ST,0
4,Mac Demarco,0
5,The Chainsmokers,0
6,TV On The Radio,0
7,GENER8ION,0
8,ODESZA,0
9,Diplo,0
10,Epsilons,0
11,P!nk,0
12,Aire Atlantica,0
13,Barrington Levy,0
14,Tori Kelly,0
15,Surkin,0
16,LVNDSCAPE,0
17,Bea Miller,0
18,Action Bronson,0
19,Son Little,0
20,Harry Styles,0
21,Mr Little Jeans,0
22,Sky Ferreira,0
23,Mario,0
24,Ana Tijoux,0
25,Cerrone,0
26,ScHoolboy Q,0
27,Anne-Marie,0
28,Sleigh Bells,0
29,St. Lucia,0
30,Yeasayer,0
31,Heems,0
32,Rick Ross,0
33,"Lee ""Scratch"" Perry",0
34,The Vamps,0
35,Statik Selektah,0
36,Gryffin,0
37,Galantis,0
38,Wyclef Jean,0
39,Ananda Shankar,0
40,Big Time Rush,0
41,Jagwar Ma,0
42,ASTR,0
43,Vis à Vis,0
44,Phantogram,0
45,Magic City Hippies,0
46,Kid Cudi,0
47,Ezra Vine,0
48,Magic City Hippies,0
49,HAIM,0
50,Arctic Monkeys,0
51,WILD,0
52,Majozi,0
53,The Harmaleighs,0
54,Matthew Dear,0
55,Wiz Khalifa,0
56,Mike Posner,0
57,Onra,0
58,Kato,0
59,Mac Demarco,0
60,Jess Glynne,0
61,Mickey Valen,0
62,Des'ree,0
63,Pretty Sister,0
64,Seven Lions,0
65,Bea Miller,0
66,Grimes,0
67,D. Gookin,0
68,The Go! Team,0
69,Michelle Branch,0
70,Jimi Hendrix,0
71,Michael Jackson,0
72,EDX,0
73,Rick Ross,0
74,Chris Brown,0
75,Chris Brown,0
76,Jess Glynne,0
77,The Click Five,0
78,Eagle-Eye Cherry,0
79,Global Deejays,0
80,Fela Kuti,0
81,Small Black,0
82,Cloud Nothings,0
83,CID,0
84,Wale,0
85,Pierce Fulton,0
86,Gareth Emery,0
87,The Hipwaders,0
88,Pegboard Nerds,0
89,Carte Blanche (feat. Alexis Taylor),0
90,OneRepublic,0
91,Owl City,0
92,Wiley,0
93,Danny Brown,0
94,Toro y Moi,0
95,Bring Me The Horizon,0
96,Electric Six,0
97,Owl City,0
98,The Stooges,0
99,Poolside,0
100,Memoryhouse,0
101,Tim Berg,0
102,Crystal Castles,0
103,The Rolling Stones,0
104,Chris Lake,0
105,MOTi,0
106,FIDLAR,0
107,FIDLAR,0
108,Chief Keef,0
109,Wahlstedt,0
110,Dâm-Funk,0
111,Empire of the Sun,0
112,Trinidad James,0
113,Above & Beyond,0
114,Michael Brun,0
115,Rick Ross,0
116,Tritonal,0
117,James Brown,0
118,ASTR,0
119,Young the Giant,0
120,Maroon 5,0
121,Gary Clark Jr.,0
122,Paper Diamond,0
123,Backstreet Boys,0
124,Rob Curly,0
125,Zeds Dead,0
126,Arcade Fire,0
127,Ne-Yo,0
128,Sam Sparro,0
129,Hanni El Khatib,0
130,CHVRCHES,0
131,Hanson,0
132,Blood Orange,0
133,Young Thug,0
134,Bag Raiders,0
135,HAIM,0
136,Tom Scott,0
137,Disclosure,0
138,Neon Indian,0
139,Backstreet Boys,0
140,Flosstradamus & DJ Sliink,0
141,Passion Pit,0
142,Danny Brown,0
143,Solange,0
144,Crystal Castles,0
145,David Archuleta,0
146,Victorious Cast,0
147,Victorious Cast,0
148,Badfinger,0
149,Victorious Cast,0
150,Sammy Adams,0
151,Big Time Rush,0
152,Duke Dumont,0
153,How To Rock Cast,0
154,Big Time Rush,0
155,TR/ST,0
156,Dan Croll,0
157,JoJo,0
